from_source,from_bdy,from_id,from_name,to_source,to_bdy,to_id,to_name,address_count,address_percent
abs 2016,poa,POA2870,2870,abs 2016,lga,LGA16200,Parkes (A),7398,99.03614457831326
abs 2016,poa,POA2870,2870,abs 2016,lga,LGA11400,Cabonne (A),33,0.4417670682730923
abs 2016,poa,POA2870,2870,abs 2016,lga,LGA12900,Forbes (A),39,0.5220883534136547
abs 2016,poa,POA2871,2871,abs 2016,lga,LGA18100,Weddin (A),8,0.13640238704177324
abs 2016,poa,POA2871,2871,abs 2016,lga,LGA12900,Forbes (A),5800,98.89173060528559
abs 2016,poa,POA2871,2871,abs 2016,lga,LGA14600,Lachlan (A),57,0.9718670076726342
abs 2016,poa,POA2873,2873,abs 2016,lga,LGA10950,Bogan (A),37,4.862023653088042
abs 2016,poa,POA2873,2873,abs 2016,lga,LGA14600,Lachlan (A),724,95.13797634691196
abs 2016,poa,POA2874,2874,abs 2016,lga,LGA14600,Lachlan (A),78,21.910112359550563
abs 2016,poa,POA2874,2874,abs 2016,lga,LGA16200,Parkes (A),278,78.08988764044943
abs 2016,poa,POA2875,2875,abs 2016,lga,LGA14600,Lachlan (A),162,21.774193548387096
abs 2016,poa,POA2875,2875,abs 2016,lga,LGA16200,Parkes (A),532,71.50537634408603
abs 2016,poa,POA2875,2875,abs 2016,lga,LGA12900,Forbes (A),50,6.720430107526881
abs 2016,poa,POA2876,2876,abs 2016,lga,LGA16200,Parkes (A),273,100
abs 2016,poa,POA2877,2877,abs 2016,lga,LGA12900,Forbes (A),6,0.1905972045743329
abs 2016,poa,POA2877,2877,abs 2016,lga,LGA11750,Cobar (A),494,15.692503176620075
abs 2016,poa,POA2877,2877,abs 2016,lga,LGA14600,Lachlan (A),2604,82.71918678526048
abs 2016,poa,POA2877,2877,abs 2016,lga,LGA10950,Bogan (A),44,1.3977128335451081
abs 2016,poa,POA2878,2878,abs 2016,lga,LGA10300,Balranald (A),7,1.6908212560386473
abs 2016,poa,POA2878,2878,abs 2016,lga,LGA11600,Carrathool (A),13,3.140096618357488
abs 2016,poa,POA2878,2878,abs 2016,lga,LGA11700,Central Darling (A),394,95.16908212560386
abs 2016,poa,POA2879,2879,abs 2016,lga,LGA19399,Unincorporated NSW,2,0.2958579881656805
abs 2016,poa,POA2879,2879,abs 2016,lga,LGA11700,Central Darling (A),674,99.70414201183432
abs 2016,poa,POA2880,2880,abs 2016,lga,LGA19399,Unincorporated NSW,343,2.6241297528880727
abs 2016,poa,POA2880,2880,abs 2016,lga,LGA11250,Broken Hill (C),12728,97.37587024711193
abs 2016,poa,POA2898,2898,abs 2016,lga,LGA19399,Unincorporated NSW,19,100
abs 2016,poa,POA2899,2899,abs 2016,lga,LGA99399,Unincorp. Other Territories,2150,100
abs 2016,poa,POA2900,2900,abs 2016,lga,LGA89399,Unincorporated ACT,3765,100
abs 2016,poa,POA2902,2902,abs 2016,lga,LGA89399,Unincorporated ACT,6694,100
abs 2016,poa,POA2903,2903,abs 2016,lga,LGA89399,Unincorporated ACT,4077,100
abs 2016,poa,POA2904,2904,abs 2016,lga,LGA89399,Unincorporated ACT,5308,100
abs 2016,poa,POA2905,2905,abs 2016,lga,LGA89399,Unincorporated ACT,11436,100
